CountyFIPS,Marc_CountyID1,FIPS,LocalityName,Population2024,OUD_Deaths2024,OUDCases2024,Labor_Fatal,Labor_OUD,Labor_Incarceration,Labor_Total,Labor_PerCapita,Health_ED,Health_Hosp,Health_AmbulanceNalax,Health_Indirect,Health_Total,Health_PerCapita,Crime_Total,Crime_PerCapita,ChildFamily_Assistance,ChildFamily_K12Ed,ChildFamily_Total,ChildFamily_PerCapita,Total_Total,Total_PerCapita,HouseholdSector_Total,FedGovtSector_Total,StateLocalSector_Total,MedianAgeYRs,MedianHHIncome,PovertyPct,SevereRentBurdenPct,Uninsured,Hlth_Dist_Name,Hlth_Region_Name,CooperCtrRegionName,CategoryName,CategoryDescription,Urban_Rural,Metro_NonMetro
51036,36,us-va-036,Charles City County,6564,5.1,352.95246449915,5682854.6041,1747280.1241,24760.7362,7454895.4644,1135.7245,5235.1746,38440.4368,2740.9439,1607788.7031,1654205.2583,252.0118,50523.4993,7.6971,114982.8404,448334.9385,563317.779,85.8193,9722942.0011,1481.2526,5846692.9124,2747695.8319,1128553.2567,52.6,75417,8.7,20.3,6.4,Chickahominy,Central,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51145,145,us-va-145,Powhatan County,32392,2.04,141.18098579966,2074445.4325,677568.3459,90017.1797,2842030.9581,87.7387,68057.2694,499725.6788,35632.2702,1310484.944,1913900.1624,59.0856,189463.1223,5.8491,683681.754,179333.9754,863015.7294,26.6429,5808409.9723,179.3162,2583813.4354,2304209.2022,920387.3346,45.8,110537,4.9,20.5,6.1,Chesterfield,Central,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51830,830,us-va-830,Williamsburg City,16030,0,0,0,0,227801.5566,227801.5566,14.211,0,0,0,0,0,0,644174.6159,40.1856,320087.3666,0,320087.3666,19.968,1192063.5391,74.3645,190367.2245,419492.6816,582203.633,23.7,75604,24.4,42.6,7.8,Peninsula,Eastern,Hampton Roads Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51097,97,us-va-097,King and Queen County,6747,0,141.18098579966,0,706566.8836,0,706566.8836,104.7231,2617.5873,19220.2184,1370.4719,222201.0952,245409.3729,36.3731,0,0,257934.4799,179333.9754,437268.4553,64.8093,1389244.7118,205.9055,578768.0918,525509.9449,284966.675,49.3,70469,14.8,16.7,8.6,Three Rivers,Eastern,Eastern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51041,41,us-va-041,Chesterfield County,389793,43.86,3811.88661659082,45093983.3309,19949649.9625,4783765.9911,69827399.2844,179.1397,839300.5541,6162751.499,439426.7414,22939381.9823,30380860.7768,77.941,9233169.4952,23.6874,9770433.7934,4842017.3361,14612451.1295,37.4877,124053880.686,318.2558,59142883.2512,42636889.4531,22274107.9816,39,101931,6.5,23.3,8.6,Chesterfield,Central,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51179,179,us-va-179,Stafford County,168919,27.54,2258.89577279456,30938310.7598,13263524.6013,2474286.0109,46676121.372,276.3225,115173.8405,845689.6103,60300.765,10050587.2311,11071751.4469,65.5447,4256604.8152,25.1991,4378670.8699,2869343.6066,7248014.4765,42.9082,69252492.1105,409.9746,36960641.1032,21211533.3716,11080317.6357,36.3,137807,4.5,20.1,8.5,Rappahannock,Northwestern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51685,685,us-va-685,Manassas Park City,16611,1.02,70.5904928998301,1401172.5555,534941.109,246371.4342,2182485.0987,131.3879,21926.4731,161000.0189,11479.8907,532801.2755,727207.6582,43.7787,328402.7454,19.7702,562483.6249,89666.9877,652150.6126,39.2602,3890246.1149,234.197,1790721.7014,1407513.62,692010.7935,36.5,103250,3.9,17.3,26.4,Prince William,Northern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51187,187,us-va-187,Warren County,42461,7.14,635.31443609847,7392541.093,3167293.7935,1184432.9243,11744267.8108,276.5895,75910.0313,557386.3341,39743.686,3140474.7423,3813514.7936,89.8122,2399866.2163,56.5193,2100767.5714,807002.8893,2907770.4607,68.481,20865419.2814,491.402,9630803.1111,6955984.8379,4278631.3324,40.5,84682,11.1,13.1,12.2,Lord Fairfax,Northwestern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51510,510,us-va-510,Alexandria City,159102,10.2,988.266900597621,9185295.6266,5192347.0748,893481.608,15271124.3094,95.9832,280081.8395,2056563.3705,146640.4966,6334754.0307,8818039.7373,55.4238,1717798.9758,10.7968,4795095.211,1255337.8279,6050433.0388,38.0286,31857396.0614,200.2325,13518081.7136,12614121.7227,5725192.6251,37.7,119681,7,19.9,11,Alexandria,Northern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51095,95,us-va-095,James City County,82797,4.08,494.13345029881,3731589.1765,1958941.6713,297430.667,5987961.5148,72.321,248670.7921,1825920.7495,130194.8334,4053312.5112,6258098.8862,75.5836,757852.4893,9.1531,2355594.4069,627668.9139,2983263.3209,36.0311,15987176.2113,193.0888,6061463.6827,6930188.8193,2995523.7092,47.1,109985,7.4,25.8,7.7,Peninsula,Eastern,Hampton Roads Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
