CountyFIPS,Marc_CountyID1,FIPS,LocalityName,Population2024,OUD_Deaths2024,OUDCases2024,Labor_Fatal,Labor_OUD,Labor_Incarceration,Labor_Total,Labor_PerCapita,Health_ED,Health_Hosp,Health_AmbulanceNalax,Health_Indirect,Health_Total,Health_PerCapita,Crime_Total,Crime_PerCapita,ChildFamily_Assistance,ChildFamily_K12Ed,ChildFamily_Total,ChildFamily_PerCapita,Total_Total,Total_PerCapita,HouseholdSector_Total,FedGovtSector_Total,StateLocalSector_Total,MedianAgeYRs,MedianHHIncome,PovertyPct,SevereRentBurdenPct,Uninsured,Hlth_Dist_Name,Hlth_Region_Name,CooperCtrRegionName,CategoryName,CategoryDescription,Urban_Rural,Metro_NonMetro
51680,680,us-va-680,Lynchburg City,80301,7.14,847.0859148,3428204.746,2961035.64,1171408.073,7560648.459,94.15385187,319345.6488,2344866.647,167197.5756,5896963.125,8728372.996,108.6956949,3385074.452,42.15482313,2703650.573,1076003.852,3779654.425,47.06858476,23453750.33,292.0729547,7968389.978,9488702.51,5996657.844,28.6,57947,19.2,28.7,8.4,Central Virginia,Southwestern,West Central Region,Medium metro,"Counties within MSAs of 250,000-999,999 population",Urban,Metropolitan
51678,678,us-va-678,Lexington City,7802,0,29.69832731,0,134837.1691,39740.46285,174577.632,22.37601025,17782.30013,130570.5045,9310.154939,221079.4371,378742.3967,48.54427027,88416.12376,11.33249471,0,37724.05377,37724.05377,4.83517736,679460.2061,87.0879526,232052.1894,273416.8011,173991.2157,22.6,84517,15.9,28.8,7.7,Central Shenandoah,Northwestern,Valley Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan
51670,670,us-va-670,Hopewell City,22970,8.16,776.4954219,4873780.948,3376466,337110.6051,8587357.553,373.8510036,142819.8933,1048686.918,74775.21612,4226245.538,5492527.565,239.1174386,783114.239,34.09291419,1205766.002,986336.8648,2192102.867,95.43329853,17055102.22,742.494655,7734591.287,6231333.338,3089177.6,37.5,54729,18.2,27.1,9.4,Crater,Central,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51660,660,us-va-660,Harrisonburg City,51164,2.04,141.1809858,1335445.964,672852.6956,1168038.35,3176337.01,62.08148326,57877.34015,424977.2778,30302.43559,1207491.548,1720648.602,33.63006414,2475651.465,48.3865895,2644605.33,179333.9754,2823939.306,55.19387275,10196576.38,199.2920097,2866431.023,4228871.672,3101273.687,25,62254,29.6,29.6,12.8,Central Shenandoah,Northwestern,Valley Region,Small metro,"Counties within MSAS of 50,000 to 249,999 population",Urban,Metropolitan
51650,650,us-va-650,Hampton City,137596,22.44,1976.533801,14434428.76,9256112.594,1540059.06,25230600.42,183.3672521,405726.0292,2979133.854,212423.1493,11533227.03,15130510.07,109.9632988,3321920.078,24.14256285,4437716.112,2510675.656,6948391.768,50.49850118,50631422.33,367.9716149,22494249.21,18571266.62,9565906.505,36.8,69621,10.9,29.6,10.4,Hampton,Eastern,Hampton Roads Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51640,640,us-va-640,Galax City,6739,0,57.57149424,0,156292.3262,244410.5195,400702.8457,59.46028279,34471.75926,253116.5803,18048.13874,428572.0677,734208.5459,108.9491832,909422.9872,134.9492487,615313.5786,73129.71271,688443.2913,102.1580785,2732777.67,405.5167933,524822.3116,1162365.677,1045589.682,42.9,38675,29,19.5,10.4,Mount Rogers,Southwestern,Southwest Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan
51630,630,us-va-630,Fredericksburg City,29992,4.08,282.3619716,2764726.422,1392983.075,900636.8952,5058346.392,168.6565215,73292.44398,538166.1156,38373.21407,1985379.923,2635211.697,87.86382026,1844107.724,61.48665391,1466808.127,358667.9508,1825476.078,60.86543337,11363141.89,378.872429,4448585.132,4145166.297,2769390.462,32.1,86071,11.2,24,10.8,Rappahannock,Northwestern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51620,620,us-va-620,Franklin City,8373,2.04,141.1809858,1290205.988,650058.9319,126664.9468,2066929.867,246.8565468,32483.28932,238515.7963,17007.04939,950572.3241,1238578.459,147.9252907,277879.2461,33.18753686,403993.7637,179333.9754,583327.7391,69.66771039,4166715.311,497.6370848,1842824.134,1549550.817,774340.3603,38.3,63245,14.8,27.3,3.6,Western Tidewater,Eastern,Southside Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan
51610,610,us-va-610,Falls Church City,15034,0,35.3680867,0,218622.0102,38646.44633,257268.4565,17.11244223,21177.15002,155497.9469,11087.57283,263286.0975,451048.7673,30.00191348,63154.37411,4.200769862,12430.57735,44926.01858,57356.59592,3.815125444,828828.1938,55.13025102,310527.6136,338637.3846,179663.1956,40.5,143262,5,19.9,2.7,Fairfax,Northern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51600,600,us-va-600,Fairfax City,26340,2.04,211.7714787,1695140.362,1281122.329,45387.01553,3021649.706,114.7171491,37102.97535,272436.8712,19425.74621,1095170.162,1424135.755,54.06741667,75785.24893,2.877192442,12430.57735,269000.9631,281431.5405,10.68456873,4803002.251,182.3463269,2575377.173,1534089.934,693535.1438,36.6,132348,10.3,25.4,10.8,Fairfax,Northern,Northern Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
51595,595,us-va-595,Emporia City,5402,0,38.52237833,0,154945.7333,25147.43985,180093.1731,33.33824011,23065.82745,169365.9822,12076.41451,286767.1849,491275.409,90.94324491,63154.37411,11.69092449,0,48932.73134,48932.73134,9.058262003,783455.6876,145.0306715,265480.6167,335031.758,182943.3129,36.6,51899,17,21.5,6.8,Crater,Central,Southside Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan
51590,590,us-va-590,Danville City,41993,8.16,917.6764077,3612174.595,2957438.866,652827.5415,7222441.003,171.9915463,148507.3121,1090448.059,77752.93836,4479505.039,5796213.349,138.0280844,2046201.721,48.7272098,2016861.174,1165670.84,3182532.014,75.78720297,18247388.09,434.5340435,6878996.81,6996999.564,4371391.713,40.4,44423,21.6,23,12.3,Pittsylvania/Danville,Southwestern,Southside Region,Rural (Micropolitan),Rural (Counties in micropolitan statistical areas),Rural,Nonmetropolitan
51580,580,us-va-580,Covington City,5663,2.04,141.1809858,757992.2417,381907.7199,175890.6749,1315790.636,232.3486909,25563.8772,187708.4696,13384.30101,880566.5576,1107223.205,195.5188426,656805.4908,115.9818984,478577.2278,179333.9754,657911.2032,116.1771505,3737730.536,660.0265823,1278156.361,1437426.593,1022147.582,38,41944,24.6,22.7,12.3,Alleghany,Southwestern,Valley Region,Rural (Noncore),Rural (Counties not within micropolitan statistical areas),Rural,Nonmetropolitan
51570,570,us-va-570,Colonial Heights City,18674,6.12,423.5429574,3987821.82,2009228.927,522001.6477,6519052.395,349.0978041,40208.77375,295241.8886,21051.82743,2272591.664,2629094.154,140.7890197,1111516.984,59.52216902,31076.44336,538001.9262,569078.3696,30.47436915,10828741.9,579.883362,5472518.232,3229807.76,2126415.91,38.2,76505,8.2,32,8.7,Chesterfield,Central,Central Region,Large fringe metro,NCHS-defined “fringe” counties of MSAs of 1 million or more population,Urban,Metropolitan
